SURVEY_OPS,FRACTION_SUBSAMPLED,TOT_wgt_G_upscaled,TOT_No_upscaled,SPCODE,FAMILY,SCIENTIFIC_NAME,COMMON_NAME,OTU_NAME,T_FIELD,COUNT,AM_SPECIMEN,ANFC_SPECIMEN,WT_G,LENGTH_CODE,MAX_LENGTH_MM,MEASURED_COUNT,WEIGHT_MEASURED,RESTSAM_WT_G,CALCULATED_WT_G,CALCULATED_COUNTS,SITE_ID,GEAR,ON_BOTTOM_TIME,ON_BOTTOM_LATITUDE,ON_BOTTOM_LONGITUDE,ON_BOTTOM_DEPTH_M,OFF_BOTTOM_TIME,OFF_BOTTOM_LATITUDE,OFF_BOTTOM_LONGITUDE,OFF_BOTTOM_DEPTH_M,BOTTOM_DURATION_MINS,AFMA_UnitCode,AFMA_UnitCodeName,AFMA_CodeNote
IN2023_V05_064,1,8630,1,37024001,Squatinidae,Squatina australis,Australian Angelshark,,T,1,0,0,8630,TL,970,1,8630,,,,N11.1,McKenna semi V-wing fish trawl,5/07/2023 21:01,-38.946534,148.339553,91,5/07/2023 21:38,-38.921885,148.322278,91,36,,,
IN2023_V05_064,1,2690,1,37035001,Dasyatidae,Bathytoshia brevicaudata,Smooth Stingray,,T,1,0,0,2690,DW,950,1,2690,,,,N11.1,McKenna semi V-wing fish trawl,5/07/2023 21:01,-38.946534,148.339553,91,5/07/2023 21:38,-38.921885,148.322278,91,36,,,
IN2023_V05_064,1,3520,1,37024001,Squatinidae,Squatina australis,Australian Angelshark,,T,1,0,0,3520,TL,725,1,3520,,,,N11.1,McKenna semi V-wing fish trawl,5/07/2023 21:01,-38.946534,148.339553,91,5/07/2023 21:38,-38.921885,148.322278,91,36,,,
IN2023_V05_064,1,840,1,37039001,Myliobatidae,Myliobatis tenuicaudatus,Southern Eagle Ray,,T,1,0,0,840,DW,400,1,840,,,,N11.1,McKenna semi V-wing fish trawl,5/07/2023 21:01,-38.946534,148.339553,91,5/07/2023 21:38,-38.921885,148.322278,91,36,,,
IN2023_V05_064,1,560,1,37031005,Rajidae,Dentiraja confusa,Longnose Skate,,T,1,0,0,560,TL,430,1,560,,,,N11.1,McKenna semi V-wing fish trawl,5/07/2023 21:01,-38.946534,148.339553,91,5/07/2023 21:38,-38.921885,148.322278,91,36,,,
IN2023_V05_064,1,2960,1,37027011,Trygonorrhinidae,Trygonorrhina dumerilii,Southern Fiddler Ray,,T,1,0,0,2960,TL,815,1,2960,,,,N11.1,McKenna semi V-wing fish trawl,5/07/2023 21:01,-38.946534,148.339553,91,5/07/2023 21:38,-38.921885,148.322278,91,36,,,
IN2023_V05_068,1,3635,11,37296035,Platycephalidae,Platycephalus aurimaculatus,Toothy Flathead,,T,11,,,3635,FL,448,11,3635,,,,N11.2,McKenna semi V-wing fish trawl,6/07/2023 4:28,-38.949783,148.326128,81,6/07/2023 5:00,-38.927701,148.310857,85,32,FLT,Flathead,
IN2023_V05_068,1,235334,5558,37337002,Carangidae,Trachurus declivis,Common Jack Mackerel,,T,5558,0,0,235334,FL,194,100,4234,231100,235334,5558,N11.2,McKenna semi V-wing fish trawl,6/07/2023 4:28,-38.949783,148.326128,81,6/07/2023 5:00,-38.927701,148.310857,85,32,HMG,Jack Mackerel,
IN2023_V05_068,1,14707,90,37038004,Urolophidae,Urolophus paucimaculatus,Sparsely-spotted Stingaree,,T,90,1,0,14707,TL,2683,90,14707,,,,N11.2,McKenna semi V-wing fish trawl,6/07/2023 4:28,-38.949783,148.326128,81,6/07/2023 5:00,-38.927701,148.310857,85,32,,,
IN2023_V05_068,1,4138,39,37441001,Scombridae,Scomber australasicus,Blue Mackerel,,T,39,0,0,4138,FL,244,39,4138,,,,N11.2,McKenna semi V-wing fish trawl,6/07/2023 4:28,-38.949783,148.326128,81,6/07/2023 5:00,-38.927701,148.310857,85,32,,,
