SPCODE,OTU_NAME,COUNT,WT_G,T_FIELD,OPER_ID,VOYAGE_ID,SITE_ID,VYG_OPN_NO,SPECIES_BARCODE,FISH_NO,LENGTH_MM,WEIGHT_G,LENGTH_CODE,SEX_CODE,TISSUE,BIOLOGICALS_COMMENTS,FISH_COMMENTS,DISSECTED_AT_SEA_Y_N,
37330014,(null),1,82,T,35,IN2023_V05,N5.1,35,10070269,1,212,82,FL,M,10081269,(null),(null),Y,
37038002,(null),12,6006,T,35,IN2023_V05,N5.1,35,10070276,1,340,539,TL,F,10080741,large developing yoky embroy see photo,(null),Y,
37038002,(null),12,6006,T,35,IN2023_V05,N5.1,35,10070276,2,345,485,TL,F,10080807,large developing yoky embroy see photo,(null),Y,
37038002,(null),12,6006,T,35,IN2023_V05,N5.1,35,10070276,3,326,416,TL,F,10080751,large developing yoky embroy see photo,(null),Y,
37038002,(null),12,6006,T,35,IN2023_V05,N5.1,35,10070276,4,284,363,TL,F,10080786,large developing yoky embroy see photo,(null),Y,
37038002,(null),12,6006,T,35,IN2023_V05,N5.1,35,10070276,5,282,311,TL,F,10080756,(null),(null),Y,
37038002,(null),12,6006,T,35,IN2023_V05,N5.1,35,10070276,6,252,217,TL,M,10080659,(null),(null),Y,
37038002,(null),12,6006,T,35,IN2023_V05,N5.1,35,10070276,7,321,489,TL,F,10080655,(null),(null),Y,
37038002,(null),12,6006,T,35,IN2023_V05,N5.1,35,10070276,8,246,204,TL,M,10080789,(null),(null),Y,
37445005,(null),13,834,T,35,IN2023_V05,N5.1,35,10070277,1,168,74,FL,F,10080982,(null),(null),Y,
37445005,(null),13,834,T,35,IN2023_V05,N5.1,35,10070277,2,149,58,FL,U,10081221,(null),(null),Y,
37445005,(null),13,834,T,35,IN2023_V05,N5.1,35,10070277,3,147,60,FL,F,10081312,(null),(null),Y,
37445005,(null),13,834,T,35,IN2023_V05,N5.1,35,10070277,4,159,68,FL,F,10081283,(null),(null),Y,
37445005,(null),13,834,T,35,IN2023_V05,N5.1,35,10070277,5,159,60,FL,(null),10080656,(null),(null),Y,
37445005,(null),13,834,T,35,IN2023_V05,N5.1,35,10070277,6,162,70,FL,(null),10081301,(null),(null),Y,
37445005,(null),13,834,T,35,IN2023_V05,N5.1,35,10070277,7,155,58,FL,(null),10081315,(null),(null),Y,
37445005,(null),13,834,T,35,IN2023_V05,N5.1,35,10070277,8,147,54,FL,(null),10081288,(null),(null),Y,
37445005,(null),13,834,T,35,IN2023_V05,N5.1,35,10070277,9,149,60,FL,F,10081256,(null),(null),Y,
37445005,(null),13,834,T,35,IN2023_V05,N5.1,35,10070277,10,175,82,FL,(null),10081217,(null),(null),Y,
37337062,(null),1,39,T,35,IN2023_V05,N5.1,35,10070284,1,126,39,FL,U,,retained whole,(null),Y,
37445006,(null),39,3769,T,35,IN2023_V05,N5.1,35,10070285,1,207,107,FL,(null),10080734,female immature,(null),Y,
37445006,(null),39,3769,T,35,IN2023_V05,N5.1,35,10070285,2,197,104,FL,(null),10081139,undeveloped gonads,(null),Y,
37445006,(null),39,3769,T,35,IN2023_V05,N5.1,35,10070285,3,195,99,FL,(null),10081213,immature female,(null),Y,
37445006,(null),39,3769,T,35,IN2023_V05,N5.1,35,10070285,4,198,98,FL,(null),10081162,undeveloped gonads,(null),Y,
37445006,(null),39,3769,T,35,IN2023_V05,N5.1,35,10070285,5,184,77,FL,(null),10081091,undeveloped gonads,(null),Y,
37445006,(null),39,3769,T,35,IN2023_V05,N5.1,35,10070285,6,197,108,FL,F,10081174,shot 1, 0p 42,(null),Y
37445006,(null),39,3769,T,35,IN2023_V05,N5.1,35,10070285,7,199,112,FL,M,10081088,(null),(null),Y,
37445006,(null),39,3769,T,35,IN2023_V05,N5.1,35,10070285,8,194,103,FL,M,10081127,(null),(null),Y,
37445006,(null),39,3769,T,35,IN2023_V05,N5.1,35,10070285,9,191,101,FL,F,10081180,(null),(null),Y,
37445006,(null),39,3769,T,35,IN2023_V05,N5.1,35,10070285,10,195,102,FL,F,10081267,(null),(null),Y,
37038001,(null),4,4061,T,35,IN2023_V05,N5.1,35,10070286,1,564,1965,TL,M,10081273,(null),(null),Y,
37038001,(null),4,4061,T,35,IN2023_V05,N5.1,35,10070286,2,483,1482,TL,M,10080775,(null),(null),Y,
37038004,(null),20,7863,T,35,IN2023_V05,N5.1,35,10070289,1,264,163,TL,(null),10080627,female immature,(null),Y,
37038004,(null),20,7863,T,35,IN2023_V05,N5.1,35,10070289,2,315,370,TL,(null),10080700,female undeveloped eggs,(null),Y,
37038004,(null),20,7863,T,35,IN2023_V05,N5.1,35,10070289,3,322,379,TL,(null),10080771,female undeveloped eggs,(null),Y,
37038004,(null),20,7863,T,35,IN2023_V05,N5.1,35,10070289,4,354,487,TL,(null),10080801,female undeveloped eggs,(null),Y,
37038004,(null),20,7863,T,35,IN2023_V05,N5.1,35,10070289,5,305,320,TL,(null),10080717,female undeveloped eggs,(null),Y,
37038004,(null),20,7863,T,35,IN2023_V05,N5.1,35,10070289,6,289,264,TL,M,10080535,(null),(null),Y,
37038004,(null),20,7863,T,35,IN2023_V05,N5.1,35,10070289,7,329,406,TL,(null),10080528,female undeveloped eggs,(null),Y,
37038004,(null),20,7863,T,35,IN2023_V05,N5.1,35,10070289,8,318,294,TL,(null),10080530,female undeveloped eggs,(null),Y,
37038004,(null),20,7863,T,35,IN2023_V05,N5.1,35,10070289,9,366,414,TL,(null),10080804,female undeveloped eggs,(null),Y,
37038004,(null),20,7863,T,35,IN2023_V05,N5.1,35,10070289,10,347,468,TL,(null),10080730,female undeveloped eggs,(null),Y,
37038007,(null),4,2019,T,35,IN2023_V05,N5.1,35,10070291,1,366,750,TL,F,10080499,female undeveloped eggs,(null),Y,
37038007,(null),4,2019,T,35,IN2023_V05,N5.1,35,10070291,2,368,495,TL,F,10080383,female undeveloped eggs,(null),Y,
37038007,(null),4,2019,T,35,IN2023_V05,N5.1,35,10070291,3,318,358,TL,M,10080760,(null),(null),Y,
37038007,(null),4,2019,T,35,IN2023_V05,N5.1,35,10070291,4,351,416,TL,F,10080763,female pupping,(null),Y,
37296001,(null),28,12567,T,42,IN2023_V05,N7.1,42,10070307,1,444,690,FL,F,10081115,(null),(null),Y,
37296001,(null),28,12567,T,42,IN2023_V05,N7.1,42,10070307,2,372,426,FL,F,10081109,(null),(null),Y,
37296001,(null),28,12567,T,42,IN2023_V05,N7.1,42,10070307,3,428,587,FL,F,10081804,gut parasite 10081834,(null),Y,
37296001,(null),28,12567,T,42,IN2023_V05,N7.1,42,10070307,4,387,458,FL,F,10081089,(null),(null),Y,
37296001,(null),28,12567,T,42,IN2023_V05,N7.1,42,10070307,5,390,428,FL,M,10081204,(null),(null),Y,
37296001,(null),28,12567,T,42,IN2023_V05,N7.1,42,10070307,6,390,436,FL,M,10081833,(null),(null),Y,
37296001,(null),28,12567,T,42,IN2023_V05,N7.1,42,10070307,7,364,337,FL,F,10081155,(null),(null),Y,
37296001,(null),28,12567,T,42,IN2023_V05,N7.1,42,10070307,8,326,277,FL,M,10081239,(null),(null),Y,
37296001,(null),28,12567,T,42,IN2023_V05,N7.1,42,10070307,9,482,882,FL,F,10081236,(null),(null),Y,
37296001,(null),28,12567,T,42,IN2023_V05,N7.1,42,10070307,10,388,406,FL,F,10081198,(null),(null),Y,
37038007,(null),78,25601,T,42,IN2023_V05,N7.1,42,10070329,1,332,396,TL,F,10081161,small eggs,(null),Y,
37038007,(null),78,25601,T,42,IN2023_V05,N7.1,42,10070329,2,342,400,TL,F,10081164,pupping,(null),Y,
37038007,(null),78,25601,T,42,IN2023_V05,N7.1,42,10070329,3,358,502,TL,F,10081810,pupping,(null),Y,
37038007,(null),78,25601,T,42,IN2023_V05,N7.1,42,10070329,4,327,329,TL,F,10081839,undeveloped gonads,(null),Y,
37038007,(null),78,25601,T,42,IN2023_V05,N7.1,42,10070329,5,318,337,TL,F,10081195,undeveloped gonads,(null),Y,
37038007,(null),78,25601,T,42,IN2023_V05,N7.1,42,10070329,6,328,333,TL,M,10081840,(null),(null),Y,
37038007,(null),78,25601,T,42,IN2023_V05,N7.1,42,10070329,7,338,398,TL,F,10081741,pupping,(null),Y,
37038007,(null),78,25601,T,42,IN2023_V05,N7.1,42,10070329,8,324,305,TL,M,10081101,(null),(null),Y,
37038007,(null),78,25601,T,42,IN2023_V05,N7.1,42,10070329,9,348,442,TL,M,10081092,(null),(null),Y,
37038007,(null),78,25601,T,42,IN2023_V05,N7.1,42,10070329,10,361,441,TL,F,10081104,small eggs,(null),Y,
37445006,(null),272,26940,T,10,IN2023_V05,N1.1,10,10070014,10,225,99,FL,(null),10080074,(null),(null),Y,
37038007,(null),3,1156,T,10,IN2023_V05,N1.1,10,10070008,3,286,326,TL,M,10080089,(null),(null),Y,
37445006,(null),6,791,T,12,IN2023_V05,N1.2,12,10070031,1,209,119,FL,F,10080140,(null),(null),Y,
37445006,(null),6,791,T,12,IN2023_V05,N1.2,12,10070031,2,191,201,FL,F,10080133,(null),(null),Y,
37445006,(null),6,791,T,12,IN2023_V05,N1.2,12,10070031,3,197,93,FL,F,10080156,(null),(null),Y,
37445006,(null),6,791,T,12,IN2023_V05,N1.2,12,10070031,4,197,107,FL,F,10080159,(null),(null),Y,
37445006,(null),6,791,T,12,IN2023_V05,N1.2,12,10070031,5,213,121,FL,F,10080112,(null),(null),Y,
37445006,(null),6,791,T,12,IN2023_V05,N1.2,12,10070031,6,228,150,FL,F,10080114,(null),(null),Y,
37287001,(null),9,564,T,12,IN2023_V05,N1.2,12,10070043,1,166,76,FL,F,10080128,(null),(null),Y,
37287001,(null),9,564,T,12,IN2023_V05,N1.2,12,10070043,2,177,133,FL,F,10080125,(null),(null),Y,
37287001,(null),9,564,T,12,IN2023_V05,N1.2,12,10070043,3,148,45,FL,(null),10080144,(null),(null),Y,
37287001,(null),9,564,T,12,IN2023_V05,N1.2,12,10070043,4,116,24,FL,(null),,bagged whole,(null),Y,
37287001,(null),9,564,T,12,IN2023_V05,N1.2,12,10070043,5,179,115,FL,M,10080146,(null),(null),Y,
37287001,(null),9,564,T,12,IN2023_V05,N1.2,12,10070043,6,156,91,FL,M,10080211,(null),(null),Y,
37287001,(null),9,564,T,12,IN2023_V05,N1.2,12,10070043,7,113,19,FL,(null),,bagged whole,(null),Y,
37377003,(null),1,147,T,12,IN2023_V05,N1.2,12,10070045,1,209,147,FL,F,10080117,(null),(null),Y,
37264004,(null),1,98,T,12,IN2023_V05,N1.2,12,10070048,1,177,98,FL,(null),,bagged whole,(null),Y,
37038002,(null),1,305,T,12,IN2023_V05,N1.2,12,10070052,1,274,305,TL,F,10080149,Photo taken, developed eggs,(null),Y
37296001,(null),12,4304,T,12,IN2023_V05,N1.2,12,10070054,1,492,945,FL,F,10080179,(null),(null),Y,
37296001,(null),12,4304,T,12,IN2023_V05,N1.2,12,10070054,2,409,497,FL,F,10080121,(null),(null),Y,
37296001,(null),12,4304,T,12,IN2023_V05,N1.2,12,10070054,3,386,457,FL,M,10080188,(null),(null),Y,
37296001,(null),12,4304,T,12,IN2023_V05,N1.2,12,10070054,4,343,301,FL,M,10080189,(null),(null),Y,
37296001,(null),12,4304,T,12,IN2023_V05,N1.2,12,10070054,5,337,243,FL,F,10080193,(null),(null),Y,
37296001,(null),12,4304,T,12,IN2023_V05,N1.2,12,10070054,6,403,461,FL,M,10080195,(null),(null),Y,
37296001,(null),12,4304,T,12,IN2023_V05,N1.2,12,10070054,7,322,229,FL,M,10080203,(null),(null),Y,
37296001,(null),12,4304,T,12,IN2023_V05,N1.2,12,10070054,8,333,266,FL,F,10080214,(null),(null),Y,
