SPCODE,SITE_ID,LENGTH_MM,TISSUE,BIOLOGICALS_COMMENTS,SCIENTIFIC_NAME,COMMON_NAME,choose,Species_size
37296001,N43.1,285,10082761,(null),Platycephalus richardsoni,Tiger Flathead,y,Platycephalus richardsoni_sm
37296001,N43.1,278,10082906,(null),Platycephalus richardsoni,Tiger Flathead,y,Platycephalus richardsoni_sm
37296001,N43.1,299,10082909,(null),Platycephalus richardsoni,Tiger Flathead,y,Platycephalus richardsoni_sm
37296001,N43.1,299,10082902,(null),Platycephalus richardsoni,Tiger Flathead,y,Platycephalus richardsoni_sm
37296001,N43.1,337,10081881,(null),Platycephalus richardsoni,Tiger Flathead,y,Platycephalus richardsoni_lg
37296001,N43.1,285,10081880,(null),Platycephalus richardsoni,Tiger Flathead,y,Platycephalus richardsoni_sm
37038004,N43.1,314,10082745,(null),Urolophus paucimaculatus,Sparsely-spotted Stingaree,y,Urolophus paucimaculatus
37038004,N43.1,293,10082763,(null),Urolophus paucimaculatus,Sparsely-spotted Stingaree,y,Urolophus paucimaculatus
37445006,N43.2,206,10082786,(null),Seriolella punctata,Silver Warehou,y,Seriolella punctata
37439002,N43.2,255,10081159,(null),Rexea solandri,Gemfish,y,Rexea solandri
37439002,N43.2,257,10081172,(null),Rexea solandri,Gemfish,y,Rexea solandri
37439002,N43.2,244,10082796,(null),Rexea solandri,Gemfish,y,Rexea solandri
37439002,N43.2,271,10081111,(null),Rexea solandri,Gemfish,y,Rexea solandri
37439002,N43.2,265,10082811,(null),Rexea solandri,Gemfish,y,Rexea solandri
37439002,N43.2,264,10082804,(null),Rexea solandri,Gemfish,y,Rexea solandri
37439002,N43.2,260,10082778,(null),Rexea solandri,Gemfish,y,Rexea solandri
37439002,N43.2,264,10082643,(null),Rexea solandri,Gemfish,y,Rexea solandri
37439002,N43.2,294,10082700,(null),Rexea solandri,Gemfish,y,Rexea solandri
37439002,N43.2,260,10082704,(null),Rexea solandri,Gemfish,y,Rexea solandri
37296001,N43.2,462,10082709,(null),Platycephalus richardsoni,Tiger Flathead,y,Platycephalus richardsoni_lg
37296001,N43.2,433,10082674,(null),Platycephalus richardsoni,Tiger Flathead,y,Platycephalus richardsoni_lg
