"","TISSUE","Tube_no","SPCODE","SITE_ID","LENGTH_MM","SCIENTIFIC_NAME","COMMON_NAME","Species_size"
"289",10084046,289,37296001,"N27.2",401,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_lg"
"290",10084249,290,37038004,"N23.3",288,"Urolophus paucimaculatus","Sparsely-spotted Stingaree","Urolophus paucimaculatus"
"291",10084253,291,37038004,"N23.3",275,"Urolophus paucimaculatus","Sparsely-spotted Stingaree","Urolophus paucimaculatus"
"292",10084188,292,37038004,"N23.3",353,"Urolophus paucimaculatus","Sparsely-spotted Stingaree","Urolophus paucimaculatus"
"293",10084191,293,37038004,"N23.3",338,"Urolophus paucimaculatus","Sparsely-spotted Stingaree","Urolophus paucimaculatus"
"294",10084439,294,37038004,"N25.3",328,"Urolophus paucimaculatus","Sparsely-spotted Stingaree","Urolophus paucimaculatus"
"295",10084499,295,37038004,"N25.3",271,"Urolophus paucimaculatus","Sparsely-spotted Stingaree","Urolophus paucimaculatus"
"296",10084407,296,37038004,"N25.3",311,"Urolophus paucimaculatus","Sparsely-spotted Stingaree","Urolophus paucimaculatus"
"297",10084464,297,37038004,"N25.3",306,"Urolophus paucimaculatus","Sparsely-spotted Stingaree","Urolophus paucimaculatus"
"298",10084255,298,NA,NA,NA,NA,NA,NA
"299",10084226,299,37287001,"N23.3",256,"Helicolenus percoides","Reef Ocean Perch","Helicolenus percoides"
"300",10084357,300,37287001,"N23.3",209,"Helicolenus percoides","Reef Ocean Perch","Helicolenus percoides"
"301",10084299,301,37287001,"N23.3",224,"Helicolenus percoides","Reef Ocean Perch","Helicolenus percoides"
"302",10084337,302,37287001,"N23.3",215,"Helicolenus percoides","Reef Ocean Perch","Helicolenus percoides"
"303",10084561,303,37227001,"N23.2",326,"Macruronus novaezelandiae","Blue Grenadier","Macruronus novaezelandiae"
"304",10084591,304,37227001,"N23.2",440,"Macruronus novaezelandiae","Blue Grenadier","Macruronus novaezelandiae"
"305",10084501,305,37227001,"N23.2",307,"Macruronus novaezelandiae","Blue Grenadier","Macruronus novaezelandiae"
"306",10084564,306,37227001,"N23.2",446,"Macruronus novaezelandiae","Blue Grenadier","Macruronus novaezelandiae"
"307",10084705,307,37227001,"N23.2",304,"Macruronus novaezelandiae","Blue Grenadier","Macruronus novaezelandiae"
"308",10083847,308,37227001,"N23.1",428,"Macruronus novaezelandiae","Blue Grenadier","Macruronus novaezelandiae"
"309",10083915,309,37227001,"N23.1",338,"Macruronus novaezelandiae","Blue Grenadier","Macruronus novaezelandiae"
"310",10083821,310,37227001,"N23.1",335,"Macruronus novaezelandiae","Blue Grenadier","Macruronus novaezelandiae"
"311",10083851,311,37227001,"N23.1",311,"Macruronus novaezelandiae","Blue Grenadier","Macruronus novaezelandiae"
"312",10083824,312,37227001,"N23.1",416,"Macruronus novaezelandiae","Blue Grenadier","Macruronus novaezelandiae"
"313",10084724,313,37287001,"N21.3",206,"Helicolenus percoides","Reef Ocean Perch","Helicolenus percoides"
