SPCODE,SITE_ID,LENGTH_MM,TISSUE,BIOLOGICALS_COMMENTS,SCIENTIFIC_NAME,COMMON_NAME
37038004,N11.2,355,10082262,(null),Urolophus paucimaculatus,Sparsely-spotted Stingaree
37038004,N11.2,381,10082232,with pup,Urolophus paucimaculatus,Sparsely-spotted Stingaree
37038004,N11.2,289,10082051,(null),Urolophus paucimaculatus,Sparsely-spotted Stingaree
37038004,N11.2,305,10082110,(null),Urolophus paucimaculatus,Sparsely-spotted Stingaree
37038004,N11.2,212,10082109,(null),Urolophus paucimaculatus,Sparsely-spotted Stingaree
37038004,N11.2,250,10082216,(null),Urolophus paucimaculatus,Sparsely-spotted Stingaree
37445006,N23.3,216,10084301,(null),Seriolella punctata,Silver Warehou
37445006,N23.3,218,10084323,(null),Seriolella punctata,Silver Warehou
37445006,N23.3,241,10084324,(null),Seriolella punctata,Silver Warehou
37445006,N23.3,224,10084292,(null),Seriolella punctata,Silver Warehou
37445006,N23.3,259,10084258,(null),Seriolella punctata,Silver Warehou
37445006,N23.3,242,10084288,(null),Seriolella punctata,Silver Warehou
37445006,N23.3,262,10084224,(null),Seriolella punctata,Silver Warehou
37287001,N23.3,213,10084352,(null),Helicolenus percoides,Reef Ocean Perch
37287001,N23.3,263,10084290,(null),Helicolenus percoides,Reef Ocean Perch
37287001,N23.3,198,10084290,(null),Helicolenus percoides,Reef Ocean Perch
37287001,N23.3,224,10084299,(null),Helicolenus percoides,Reef Ocean Perch
37287001,N23.3,250,10084328,(null),Helicolenus percoides,Reef Ocean Perch
37287001,N23.3,267,10084360,(null),Helicolenus percoides,Reef Ocean Perch
37287001,N23.3,209,10084357,(null),Helicolenus percoides,Reef Ocean Perch
37287001,N23.3,215,10084337,(null),Helicolenus percoides,Reef Ocean Perch
37287001,N23.3,256,10084226,(null),Helicolenus percoides,Reef Ocean Perch
37287001,N23.3,207,10084282,(null),Helicolenus percoides,Reef Ocean Perch
37038007,N23.3,301,10084195,(null),Urolophus viridis,Greenback Stingaree
37038007,N23.3,335,10084255,(null),Urolophus viridis,Greenback Stingaree
37264004,N25.3,362,NA,(null),Zeus faber,John Dory
37264004,N25.3,322,NA,(null),Zeus faber,John Dory
